token,token_id,count,avg_logprob,avg_entropy
 Let,6771,27219,-1.038845387386835,1.1215802752596424
"),",701,27134,-0.24627316112743952,0.27198463284748003
 at,518,27124,-0.6278534925910438,0.5035210030052515
^,61,26449,-0.14000005094021306,0.12758065048080697
 as,438,25656,-0.9479476542609631,0.6560879951993044
 number,1372,25632,-0.3512991981048337,0.3897156300312532
?,30,25441,-1.5426550953930165,0.9431363691005742
*,9,24767,-0.2213286859630003,0.18861472200593343
 we,582,24404,-1.090767804730468,1.0131143045631066
 each,1817,24353,-1.1636019519617469,0.8681587101258817
 perhaps,8365,24167,-2.785227086846216,1.6280658453741155
 two,1378,24133,-0.8714792300153844,0.6329373680380032
 would,1035,23968,-1.2952567280502678,0.8924422762967529
 Wait,13824,23595,-1.5461639037701154,1.1752558813885274
 from,504,23343,-0.664046501677217,0.5857409000076274
 then,1221,23193,-0.8073134778136296,0.7716956409842427
 by,553,22588,-0.2519899816276205,0.21700536030349338
 have,614,22192,-0.9244170632876761,0.7420507820080218
 n,308,21882,-0.5247263828303215,0.4729320153659888
 not,537,20951,-0.7083547795611482,0.6707043813558818
 must,1969,20525,-1.3594182429737645,0.7883867187056595
 this,419,20397,-0.7553895424059538,0.8346753174393139
a,64,20176,-0.232370954707064,0.15058935424533706
 b,293,19270,-0.18358468318393828,0.18970556529311003
 But,1988,18749,-1.007587416152063,1.1263217739858236
 mod,1463,18717,-0.6086946736736393,0.39960154586763463
 let,1077,18670,-1.6681745112931978,1.575946244621379
 y,379,18119,-0.2537569348810393,0.21708831390355066
 all,678,17643,-0.9767269460561561,0.7408017631838173
"

",271,17396,-0.24053101035665442,0.2768286944243429
 m,296,17188,-0.6720163237155247,0.5307759464137165
't,944,16691,-0.0476077153236897,0.06091337748655055
 or,476,16628,-0.7048979503175861,0.5194766098340312
 f,282,16479,-0.44442810073437944,0.4449186135554676
 A,362,16401,-0.3866632990150668,0.3266607077305619
 one,825,16295,-0.6240479516339251,0.5409622163268784
 The,576,15881,-1.577866003980385,1.1755605741059698
 \,1124,15488,-0.299920159961628,0.23338988017003046
 there,1052,15459,-1.0623407349471434,0.9411446640631966
)/,5620,15328,-0.1130677501287988,0.08249119191616676
 since,2474,15044,-1.4918106108135252,1.3739699485675352
 on,389,14974,-0.6459245600241184,0.4527828876180762
√,144336,14744,-0.09202702655555499,0.06889163097791286
 c,272,14664,-0.32257075599647256,0.2765313111733768
Therefore,54815,14630,-1.4678943667930036,1.2517135734844924
 k,595,14610,-0.35515163380507325,0.36200368102130903
°,11616,14358,-0.06077458878748429,0.06829601502649747
