token,token_id,count,avg_logprob,avg_entropy
Total,7595,2221,-0.8524376882298044,0.646071824826288
(y,7021,2214,-0.19887527266168983,0.08866066338633469
 diagonal,37236,2211,-0.5934620161285125,0.40312770426528455
 don,1513,2210,-0.9508889781403865,0.7143045529763136
 size,1379,2181,-0.4054544204858835,0.3377413625441768
 add,912,2177,-0.8735604817899039,0.5848413905524606
 rows,6978,2173,-0.7074568355571713,0.4455223573231191
z,89,2169,-0.07845671614395852,0.07015585006177873
 indeed,12824,2166,-2.8578524814087927,0.9297861749115413
 To,2014,2166,-2.8573484974994994,1.3010864183240047
sin,15940,2161,-0.3122636939794142,0.19649490649441645
**,334,2148,-1.0095248961581864,0.272996813743037
 out,700,2138,-0.4946802487654369,0.3561334808564097
q,80,2131,-0.132357409111159,0.09826701708992139
 denote,78064,2130,-1.2333473825678578,1.1225707336210868
�,116,2123,-2.023744740353628e-05,0.0001483167223057107
 except,3650,2107,-2.8622517512203336,0.839574141672308
This,1986,2107,-1.6406452607135384,1.0202981290740316
→,51018,2107,-0.34888252286363336,0.20331132226216517
 ],2279,2094,-0.13769036167102874,0.10005043735887781
>,29,2090,-1.092276620123375,0.4288077839025247
 etc,4992,2079,-1.0566501418462793,0.5883115240448423
 values,2750,2076,-0.5488390391961687,0.5048180318438716
als,1127,2075,-0.0006854367543415851,0.0019171012059089056
 satisfy,26553,2074,-0.6631756010487776,0.5162346746545956
 per,817,2074,-1.3208761856663997,0.6841765404530805
 greater,7046,2073,-1.0009545184423885,0.6217314358895065
 wait,3783,2070,-2.564311534771021,1.3268772549099392
 opposite,14002,2066,-1.049894346099163,0.5283777998875383
 equations,37906,2063,-0.955883093615267,0.6634593540734741
 gcd,44858,2061,-0.6949485960312112,0.5149348321011653
 do,653,2059,-1.5569374766264106,0.9512507067739915
 exact,4734,2058,-1.015577749098471,0.6986377664065156
 real,1931,2051,-0.5838593811247187,0.3536955524577303
}{,15170,2049,-0.014011691232144163,0.0077688775050377855
 becomes,9044,2044,-1.0012595664031818,0.6022593336131804
 back,1182,2036,-0.665474030966843,0.3711043599671426
 give,2968,2035,-1.4031939343679742,0.9490706522500174
 exponent,27690,2035,-1.2716333890722775,0.708665604168105
CD,6484,2034,-0.061336155134668044,0.026920167521350017
