token,token_id,count,avg_logprob,avg_entropy
 Naomi,77722,80,-1.163306139409542,0.794744269491639
 strips,29922,80,-0.5100210428237915,0.45638294219970704
 book,2311,80,-0.2477879598736763,0.41822918887773997
ints,21042,80,-4.348605871200562e-05,0.0003927956320694648
cot,64498,80,-0.27887575328350067,0.2278276553377509
 steel,9509,80,-1.1471214532852172,0.5589878899743781
 DP,31757,80,-1.092062158882618,0.678234526515007
_o,14179,80,-0.11205352246761321,0.017125034332275392
amp,1121,80,-0.001988843083381653,0.012535108253359795
 motor,8872,80,-0.09145912230014801,0.10481355041265487
Mary,41484,80,-1.4236286222934722,0.574495792388916
 percentile,65157,80,-0.24500921070575715,0.24900605626171454
+b,35093,79,-0.9539691028715689,0.3617107988912848
along,38293,79,-1.6254761732077296,1.1140717615055133
 structured,32930,79,-2.5593082089967365,1.6462464151503164
roc,27687,79,-1.5089783487440665e-06,2.337995580621535e-05
 co,1062,79,-2.4796772244610366,1.1897065367879747
 nice,6419,79,-3.0101488330696204,1.379450158227848
 interfere,39878,79,-2.1775520421281644,1.1843107199367089
'.,4427,79,-0.6369327834889859,0.5359320338768295
 intercept,28639,79,-1.5865094209019142,0.9282568919507763
 levels,5866,79,-0.7005036767525009,0.5784120529512816
used,2591,79,-0.1854868236976334,0.2334594138060944
�,233,79,-5.199939389772053e-06,7.32696857937034e-05
 MM,21665,79,-0.37466490570502947,0.2760670939578286
_min,7260,79,-0.4618388429472718,0.3194007266171371
otti,41227,79,-4.709521426430232e-06,6.234285103369362e-05
 exposed,14900,79,-1.0500370701657067,0.6199142155767996
 refill,73715,79,-0.31622203543216365,0.13797952773497452
 Ben,7355,79,-0.4378228459177138,0.4438167614272878
 treasure,31626,79,-0.6762229777589629,0.4219616702463053
 extending,32359,78,-2.0775496654021435,1.1924156775841346
 Alright,97593,78,-2.8038361378205128,1.204727564102564
 SAT,42254,78,-2.1837126903044872,1.6444310897435896
 Worse,86804,78,-0.4156817900828826,0.5779348520132211
 positioned,34228,78,-2.5917217548076925,1.4423906375200322
 correction,26262,78,-0.7872988673356863,0.5036905789986635
 translated,24531,78,-3.0864195212339745,1.7072566105769231
 inch,17122,78,-0.23748777157221085,0.22361313971953514
 recip,24450,78,-1.382876876073006,0.972879538169274
 Tur,8705,78,-1.671072250757462,0.9380680964543269
 friend,4238,78,-0.2617922914333833,0.1888696747378279
 independently,28135,78,-1.5460461500363472,0.9450342838580792
EF,14884,78,-0.2550176168099428,0.23601421599204725
 transactions,14131,78,-1.2411623260913751,0.8532050118232385
 pull,6815,78,-0.2588393703485147,0.2725505059919296
 Warriors,31887,78,-0.16299530940178114,0.34235280432189125
-consuming,69740,77,-0.0009622326144924411,0.008498451926491478
 relations,4300,77,-1.7740346735174006,1.3290484539874188
/C,11295,77,-0.28956095119575403,0.10335186530243266
?),10170,77,-3.3594606077516236,1.0106803596793832
 online,2860,77,-2.3894201501623376,1.616616781655844
 sort,3378,77,-2.5951813041389764,1.5128700949928977
eta,1915,77,-0.0005085220584621677,0.0032338445836847477
AF,8276,77,-0.2781373463667832,0.2329672435661415
 wide,6884,77,-0.2487277736911526,0.3089694729099026
 Oops,95252,77,-2.4709060470779223,1.2942623782467533
Bottom,11279,77,-0.26827355483909704,0.17976311584571739
 loss,4709,77,-0.5442635796286843,0.36821808520849647
 circ,4225,77,-1.4053917658793462,0.7809339993959897
 effect,2456,77,-1.3598336863827396,1.1008878435407365
&,5,77,-0.566561729877026,0.3702561855316162
μ,43123,77,-0.4176333538897626,0.14267530069722759
"}
",532,77,-0.17548219414500446,0.14513229859339727
 lost,5558,77,-1.3167423892330814,0.6445136132178368
-type,10604,77,-0.27704570974622456,0.13988141889695999
hen,12032,77,-8.044304785790381e-06,0.00011524380874130633
+C,70792,77,-0.031020678483046495,0.039170819443541685
 Cs,67332,77,-0.4396294370874182,0.4412220670031263
 Alberto,64681,77,-1.612346906166572,0.991557604306704
Points,11411,76,-1.404918068333676,1.10870361328125
 accounted,40753,76,-2.1212350945723686,1.4231406763980263
orean,45195,76,-0.0011166741973475407,0.005729977152537015
 breaking,14719,76,-3.1033132452713814,1.5208162006578947
Factors,97769,76,-0.745675946536817,0.6756150095086348
 definitions,17473,76,-1.8710431550678455,0.972089265522204
")"",",11583,76,-0.7672516672234786,0.8227860300164473
 generate,6923,76,-1.0728258835641962,0.7914669639185855
 foot,4478,76,-0.770738600116027,0.36135333776474
 built,5798,76,-2.5522220009251644,1.400133634868421
 calories,24262,76,-0.40876598891459015,0.5328577844805917
ums,6237,76,-0.000124750952971609,0.0009997609304264188
 seen,3884,76,-1.4739885832134045,1.0361039011101973
 miss,3116,76,-0.8153631624422575,0.5178418410451788
.\,7110,76,-0.9513772757429826,0.44474707151714127
 �,51414,76,-0.24180518953423752,0.19114893361141808
SP,4592,76,-0.3010744907354054,0.28177456636177867
LL,4086,76,-0.07108998769208004,0.10755197571492509
 manic,69122,76,-0.056557769838132356,0.12079882216149647
HI,23913,76,-8.37915822079307e-06,8.744231768344577e-05
_col,10211,76,-0.08439641249807257,0.07297676914420567
'C,76661,76,-0.04491324016922399,0.11594486236572266
Param,2001,75,-1.3801385498046874,0.949541015625
 consists,17167,75,-1.2085951360066731,0.9196795781453451
 showed,8542,75,-0.5038386948903402,0.764538144270579
is,285,75,-0.34627470970153806,0.23994440221518742
ap,391,75,-1.9468563842773436,0.6449210611979167
 essentially,15791,75,-3.6357356770833333,1.5884114583333333
 Need,14656,75,-1.6210888671875,1.2909765625
 exterior,27263,75,-1.0112464396158853,0.7620810953776042
 completely,6587,75,-1.3920768229166667,1.029453125
 land,4268,75,-1.0310690053304037,0.6901578776041667
-based,5980,75,-0.8042664845784505,0.6840084838867188
 poly,9861,75,-0.8077906290690104,0.7845914713541666
 additions,37214,75,-1.2249141438802083,0.9255924479166666
FG,12001,75,-0.2756194543838501,0.13051540608207385
 FG,48297,75,-0.2540069007873535,0.14654335734744867
sequence,15512,75,-0.13648178736368816,0.1056755717098713
 medium,11051,75,-0.7433125352859498,0.4141774241129557
 multis,74737,75,-1.1019478352864582,1.0003678385416668
anding,25591,75,-3.172874450683594e-05,0.0003816799322764079
 inverted,46701,75,-1.7340104166666668,1.0173046875
 di,1853,75,-1.4304724629720051,0.7035589599609375
-hour,21231,75,-0.031047250429789227,0.06543723106384278
 chromat,97184,75,-0.27568492412567136,0.2882719643910726
 TB,30080,75,-1.1861475118001301,0.73856689453125
qu,446,74,-1.0418403438619666,0.3676765783362695
 calculus,82668,74,-2.030055690456081,1.335106102195946
plied,3440,74,-5.09861353281382e-06,6.085870837843096e-05
=d,25405,74,-0.39828640866923976,0.2793199748203561
CE,2104,74,-0.3648770644858077,0.278664161224623
Convert,12012,74,-0.4696609909470017,0.49348738386824326
 calculator,29952,74,-1.0040187449068636,0.8470012175070273
-edge,47348,74,-0.28960027726920873,0.13466728276044532
airs,4720,74,-0.15892435570020932,0.11522850857393162
 weights,14324,74,-0.6316262113081442,0.5177889095770346
 perm,13854,74,-1.6477622341465306,1.0408993282833614
 east,10984,74,-1.0720760693421234,0.4875116606016417
 independence,23665,74,-1.099907127586571,0.6971097379117399
lf,11008,74,-0.04865247655559231,0.05896350698595917
rf,8052,74,-1.854832107956345e-05,0.00018051201501244528
 de,409,74,-0.8254574488949131,0.25772741678598765
 huge,6765,74,-1.537513526710304,1.2054080447635136
 strings,9069,74,-0.5557390032587824,0.4635382987357475
 schools,8682,74,-0.19219778196231738,0.2941522839907053
pq,64016,74,-0.11492763822143143,0.048061005167058996
 FC,16013,74,-0.683064029023454,0.4568798219835436
 decomposition,65166,73,-0.8436792974602686,0.730633461312072
 quarter,8338,73,-1.0862496519741947,0.5903861163413688
(...),47527,73,-1.5246787822409853,0.6201077552690898
 Close,13032,73,-1.8509036547517124,1.12232448630137
-a,7409,73,-0.33553869103732176,0.33450173903001496
 On,1913,73,-1.5246841564570388,0.9410441868925747
Ex,840,73,-0.8714493202836546,0.6109101609007953
 restrict,8891,73,-1.9559292727953768,1.2487023758561644
 dimension,12871,73,-1.763564018354024,0.8473238487766214
 speeds,24722,73,-0.9566968173196871,0.7071088519814897
-R,10911,73,-0.06342138819498559,0.08426483600617271
 Erd,44693,73,-2.4771374741645706,1.2910858572345891
 universal,20178,73,-1.1605617575449487,0.7333649935787672
 sounds,10362,73,-2.2343348672945207,0.9723552547089042
 abc,39022,73,-0.45373429010992183,0.4897665724362413
 Blue,8697,73,-0.5466850195845513,0.33045227305121616
:-,10944,73,-0.7888622937137133,0.28919387190309287
 receives,21189,73,-0.4488044552607079,0.44520370927575514
$\,58736,73,-0.5347308296046845,0.6273555624974917
II,5543,73,-0.12783245354482572,0.17037339488120928
clidean,50078,73,-0.00012036382335506074,0.0011319307840033754
 spheres,65718,73,-0.5063715862901244,0.35656729218077987
 CM,18090,73,-0.24372219059565295,0.2343522453144805
TS,9951,73,-0.07072119516869114,0.0786996312337379
 SR,20880,73,-0.2595624907376015,0.15080632412270323
OF,12483,73,-0.13219716287639044,0.13234998102057471
 younger,14650,73,-0.6666576960315443,0.5798450626739083
trace,15067,72,-2.6224365234375,1.0095587836371527
 Oh,8670,72,-2.417941623263889,1.2091200086805556
ultip,9845,72,-0.06341140965620677,0.07685290528767534
 ambiguity,71768,72,-0.800686756769816,0.9739033381144205
original,9889,72,-0.7901583462953568,0.7355415887302823
 originally,13214,72,-2.4845072428385415,1.1948377821180556
 Take,11778,72,-0.9766423967149522,1.0570398370424907
ides,3341,72,-0.1195375273625056,0.016161476986275777
/A,10360,72,-0.2697267317109638,0.21381580084562302
~,93,72,-1.9201445711983576,0.7473918596903483
 tern,71617,72,-0.36826464037100476,0.4930451330211427
 tall,16217,72,-0.8316165092918608,0.7123167621903121
ively,3132,72,-0.03597012493345472,0.07090252268689154
Alternative,75763,72,-5.015435112847222,1.4775661892361112
(w,3622,72,-0.5696174336804284,0.207041351745526
 Any,5765,72,-2.1518665154774985,1.217666796512074
 fine,6915,72,-2.5053414238823786,1.097198486328125
undred,7114,72,-0.0031656059953901502,0.014411805954296142
 skip,10706,72,-1.474880455268754,0.9579021433989207
 sampling,24892,72,-0.8628678338395225,0.6023680151815319
Positions,45793,72,-0.9954237937927246,0.865820566813151
 loses,32191,72,-0.5143323491017023,0.42461716135342914
 wasn,5710,72,-2.7048492431640625,1.0828653971354167
ys,1047,72,-2.528230349222819e-05,0.00028118885691381164
 rewrite,18130,72,-2.3800633748372397,1.3437567816840277
 BH,67747,72,-0.563649927576383,0.38316788110468125
 purse,52001,72,-0.3032376054260466,0.2678636668456925
"'.

",29636,72,-0.9533238940768771,0.7359771728515625
τ,35824,72,-0.1474911305639479,0.2355648312303755
 dm,28676,72,-0.999524712562561,0.5922012329101562
xz,92955,72,-0.3442767643266254,0.16762332121531168
John,13079,72,-0.8573999868498908,0.355615774790446
res,416,71,-0.17082047798264194,0.17791568582654524
-third,29177,71,-0.011388642687193105,0.02294323184120823
 somehow,16925,71,-3.904200594190141,1.591305155149648
 haven,8990,71,-1.4731019785706425,1.0159344740316902
 grow,3063,71,-1.1932278485365317,0.9476593447403169
/-,23650,71,-0.36010501754116003,0.22698136450539172
 With,3085,71,-1.813880356264786,1.1171434429329885
 contradictory,70140,71,-1.5724925726232395,1.3391835387323943
 Doesn,48832,71,-2.9343089788732395,1.1454940580985915
 increments,61600,71,-3.258512899909221,1.2658502283230635
 doing,3730,71,-2.185255727297823,1.1665396012470757
 sur,1729,71,-0.5720787921421965,0.4498320398196368
 faster,10596,71,-0.8691252721867091,0.5910911022777289
 perspective,13057,71,-2.5842994367572625,1.160888671875
-dimensional,32420,71,-0.3996495025258669,0.24689707118020932
 avoiding,30426,71,-2.481507207306338,1.3949163732394365
 systematic,36438,71,-2.216020471613172,1.2069994160826778
⇒,144016,71,-1.729703768877916,0.4557140511526188
 rather,4751,71,-2.9266890404929575,1.23046875
um,372,71,-0.0022025628828666577,0.010304863761428376
Red,6033,71,-0.40689722920807314,0.42703298112036475
efficient,42770,71,-0.016452963923064754,0.03426996926763948
 Line,7083,71,-0.28928574374024296,0.23897582208606558
rix,18356,71,-1.046859042745241e-05,0.00010267524503689574
 purs,9836,71,-1.6969399871960493,0.8123019637776093
�,48312,71,-0.14265502842379288,0.1876624507329863
||,8484,70,-1.0434972371373858,0.2984733854021345
 Using,12091,70,-1.8043119158063616,1.2934186662946427
 reflect,8708,70,-0.5526611873081753,0.6215951102120536
 estimate,16045,70,-1.1642707007271902,1.028216552734375
 decide,10279,70,-2.370103832653591,1.1627707655940738
 Over,6065,70,-0.7572016988481794,0.6120095423289708
